[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of altruists,sum [Harvest] of altruists,min [Harvest] of altruists,max [Harvest] of altruists,count foods,count (altruists) with [Harvest = 0]
6,3,2,20,52,0.33,0.1,0,0,0,175,0,19,0,1
5,3,2,20,52,0.33,0.1,0,0,0,173,0,19,0,1
8,3,2,20,52,0.33,0.1,0,0,0,189,0,19,0,2
3,3,2,20,52,0.33,0.1,0,0,0,140,0,18,0,1
4,3,2,20,52,0.33,0.1,0,0,0,158,0,15,0,3
2,3,2,20,52,0.33,0.1,0,0,0,190,0,19,0,2
7,3,2,20,52,0.33,0.1,0,0,0,199,1,19,0,0
1,3,2,20,52,0.33,0.1,0,0,0,177,0,19,0,1
2,3,2,20,52,0.33,0.1,0,1,0,438.5,15.90602409,29.63026193,367,0
5,3,2,20,52,0.33,0.1,0,1,0,405.5,14.88923058,22.28409384,366,0
6,3,2,20,52,0.33,0.1,0,1,0,375,12.77971025,20.638009,370,0
3,3,2,20,52,0.33,0.1,0,1,0,391,12.85514562,22.29313002,370,0
4,3,2,20,52,0.33,0.1,0,1,0,409,14.42242868,22.38112393,367,0
8,3,2,20,52,0.33,0.1,0,1,0,425,15.26285589,22.92841783,371,0
7,3,2,20,52,0.33,0.1,0,1,0,492.5,17.64437634,30.78873671,370,0
4,3,2,20,52,0.33,0.1,0,2,0,390,13.66541808,20.48687624,380,0
1,3,2,20,52,0.33,0.1,0,1,0,297.5,10.49488619,16.20711041,367,0
2,3,2,20,52,0.33,0.1,0,2,0,646,21.95082344,34.85069736,379,0
6,3,2,20,52,0.33,0.1,0,2,0,584,20.55214835,32.84126214,380,0
3,3,2,20,52,0.33,0.1,0,2,0,612,20.33455158,33.31299742,380,0
8,3,2,20,52,0.33,0.1,0,2,0,681,24.49150141,37.27160238,379,0
5,3,2,20,52,0.33,0.1,0,2,0,658,23.79443222,36.30421475,380,0
7,3,2,20,52,0.33,0.1,0,2,0,761,25.80587021,41.21171272,379,0
4,3,2,20,52,0.33,0.1,0,3,0,413,14.21307438,22.83817433,380,0
2,3,2,20,52,0.33,0.1,0,3,0,652.5,23.02554057,34.43065442,380,0
1,3,2,20,52,0.33,0.1,0,2,0,334,11.80678907,17.6455772,380,0
5,3,2,20,52,0.33,0.1,0,3,0,856.5,29.33762526,46.48674001,380,0
6,3,2,20,52,0.33,0.1,0,3,0,834,30.94329163,44.59871966,380,0
8,3,2,20,52,0.33,0.1,0,3,1.873266324,917.1267337,31.69075282,49.16859985,380,0
3,3,2,20,52,0.33,0.1,0,3,0,787,26.65378342,42.67148315,380,0
7,3,2,20,52,0.33,0.1,0,3,7.067786378,957.4322136,32.36807287,51.1513454,380,0
4,3,2,20,52,0.33,0.1,0,4,0,662,22.29857947,36.44130749,380,0
2,3,2,20,52,0.33,0.1,0,4,0,856,28.84623193,49.35492654,380,0
1,3,2,20,52,0.33,0.1,0,3,0,575.5,19.54617523,31.87105526,380,0
5,3,2,20,52,0.33,0.1,0,4,55.32062732,998.6793727,33.84041809,52,380,0
7,3,2,20,52,0.33,0.1,0,4,7.067786378,935.9322136,32.86539627,49.71990536,380,0
6,3,2,20,52,0.33,0.1,0,4,58.81804249,994.1819575,33.6303657,52,380,0
3,3,2,20,52,0.33,0.1,0,4,0,844,28.74865764,46.56240698,380,0
8,3,2,20,52,0.33,0.1,0,4,139.6260257,994.3739743,34.66467915,52,380,0
4,3,2,20,52,0.33,0.1,0,5,1.09300692,912.9069931,30.08674351,52,380,0
2,3,2,20,52,0.33,0.1,0,5,8.372159711,954.1278403,32.44602384,52,380,0
1,3,2,20,52,0.33,0.1,0,4,0,795,26.65528962,43.14267144,380,0
5,3,2,20,52,0.33,0.1,0,5,286.2879274,997.2120726,34.19657227,52,380,0
