[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of misers,sum [Harvest] of misers,min [Harvest] of misers,max [Harvest] of misers,count (misers) with [Harvest <= 0]
4,3,2,0,52,0.33,0.1,20,0,0,181,0,18,1
3,3,2,0,52,0.33,0.1,20,0,0,182,1,19,0
8,3,2,0,52,0.33,0.1,20,0,0,220,0,19,1
7,3,2,0,52,0.33,0.1,20,0,0,239,2,19,0
2,3,2,0,52,0.33,0.1,20,0,0,209,0,18,1
5,3,2,0,52,0.33,0.1,20,0,0,189,1,19,0
6,3,2,0,52,0.33,0.1,20,0,0,227,1,19,0
1,3,2,0,52,0.33,0.1,20,0,0,232,2,19,0
7,3,2,0,52,0.33,0.1,20,1,0,437,6.5,37.5,0
4,3,2,0,52,0.33,0.1,20,1,0,442,3,40.5,0
2,3,2,0,52,0.33,0.1,20,1,0,401,4.5,42,0
3,3,2,0,52,0.33,0.1,20,1,0,357,1.5,38,0
6,3,2,0,52,0.33,0.1,20,1,0,451,2.5,34.5,0
8,3,2,0,52,0.33,0.1,20,1,0,444,0,38.5,1
5,3,2,0,52,0.33,0.1,20,1,0,412.5,5.5,41,0
7,3,2,0,52,0.33,0.1,20,2,0,566,7,47,0
1,3,2,0,52,0.33,0.1,20,1,0,490,10,41.5,0
4,3,2,0,52,0.33,0.1,20,2,0,660,10,52,0
7,3,2,0,52,0.33,0.1,20,3,0,543,5,46.5,0
3,3,2,0,52,0.33,0.1,20,2,0,546,5,49,0
2,3,2,0,52,0.33,0.1,20,2,10,617,9,52,0
8,3,2,0,52,0.33,0.1,20,2,0,637.5,11,50,0
6,3,2,0,52,0.33,0.1,20,2,0,624,14,52,0
5,3,2,0,52,0.33,0.1,20,2,16,584,5,52,0
1,3,2,0,52,0.33,0.1,20,2,0,469,9,41,0
4,3,2,0,52,0.33,0.1,20,3,55.5,824.5,12.5,52,0
5,3,2,0,52,0.33,0.1,20,3,86.5,779,15.5,52,0
3,3,2,0,52,0.33,0.1,20,3,36,714,6,52,0
1,3,2,0,52,0.33,0.1,20,3,3,475,8,52,0
7,3,2,0,52,0.33,0.1,20,4,43,712,12,52,0
6,3,2,0,52,0.33,0.1,20,3,37.5,773.5,19.5,52,0
8,3,2,0,52,0.33,0.1,20,3,46.5,794.5,12,52,0
2,3,2,0,52,0.33,0.1,20,3,33.5,831.5,8,52,0
4,3,2,0,52,0.33,0.1,20,4,233,951,29,52,0
5,3,2,0,52,0.33,0.1,20,4,184,892,19,52,0
7,3,2,0,52,0.33,0.1,20,5,87.5,748.5,10.5,52,0
6,3,2,0,52,0.33,0.1,20,4,124,919,28,52,0
3,3,2,0,52,0.33,0.1,20,4,112,857,6,52,0
2,3,2,0,52,0.33,0.1,20,4,104,933,18,52,0
8,3,2,0,52,0.33,0.1,20,4,145,880.5,13,52,0
1,3,2,0,52,0.33,0.1,20,4,32,653,7,52,0
4,3,2,0,52,0.33,0.1,20,5,391,987,32,52,0
5,3,2,0,52,0.33,0.1,20,5,306,953.5,24.5,52,0
6,3,2,0,52,0.33,0.1,20,5,265,963,27.5,52,0
3,3,2,0,52,0.33,0.1,20,5,225.5,943.5,6,52,0
7,3,2,0,52,0.33,0.1,20,6,159,857,21,52,0
2,3,2,0,52,0.33,0.1,20,5,210,994,27,52,0
8,3,2,0,52,0.33,0.1,20,5,297.5,950.5,17,52,0
4,3,2,0,52,0.33,0.1,20,6,610,1014,32,52,0
6,3,2,0,52,0.33,0.1,20,6,425,1002,40,52,0
